price,carat,clarity,cut,color,depth,table,x,y,z,date
580,0.32,VS1,Ideal,H,61,56,4.43,4.45,2.71,2/26/2012
650,0.34,SI1,Very Good,G,63.4,57,4.45,4.42,2.81,2/26/2012
630,0.3,VS2,Very Good,G,63.1,58,4.27,4.23,2.68,2/26/2012
706,0.35,VVS2,Ideal,H,59.2,56,4.6,4.65,2.74,2/26/2012
1080,0.4,VS2,Premium,F,62.6,58,4.72,4.68,2.94,2/26/2012
3082,0.6,VVS1,Ideal,E,62.5,53.7,5.35,5.43,3.38,2/26/2012
3328,0.88,SI1,Ideal,I,61.7,56,6.14,6.18,3.8,2/26/2012
4229,0.93,SI1,Premium,E,61.4,57,6.34,6.23,3.86,2/26/2012
1895,0.51,VVS2,Very Good,G,63.4,57,5.09,5.06,3.22,2/26/2012
3546,1.01,SI2,Good,E,63.9,58,6.31,6.37,4.05,2/26/2012
752,0.3,VVS2,Good,D,63.6,55,4.25,4.31,2.72,2/26/2012
13003,2.01,VS2,Premium,I,59.5,60,8.26,8.21,4.9,2/26/2012
814,0.3,VVS2,Ideal,D,62.4,54,4.3,4.32,2.69,2/26/2012
6115,1,VS2,Very Good,D,63.4,57,6.36,6.32,4.02,2/26/2012
645,0.32,VS1,Premium,G,61.4,58,4.36,4.4,2.69,2/26/2012
3749,1.01,SI2,Premium,I,61.7,60,6.34,6.4,3.93,2/26/2012
2926,0.81,SI2,Good,D,63.6,55,5.91,5.86,3.74,2/26/2012
765,0.4,SI1,Ideal,I,61.6,56,4.74,4.68,2.9,2/26/2012
1140,0.31,VVS1,Ideal,F,60.6,56,4.44,4.41,2.68,2/26/2012
1158,0.4,VVS2,Ideal,E,61.7,55,4.74,4.76,2.93,2/26/2012
521,0.31,SI1,Good,H,64,54,4.31,4.29,2.75,2/26/2012
6122,1.04,VS2,Premium,G,60,58,6.62,6.54,3.95,2/26/2012
5096,1.21,VS2,Premium,J,61.9,59,6.84,6.77,4.21,2/26/2012
9465,1.04,VVS2,Ideal,G,61.7,56,6.5,6.54,4.02,2/26/2012
3225,0.68,VVS1,Good,G,61.9,55,5.63,5.68,3.5,2/26/2012
743,0.33,SI1,Premium,E,60.2,58,4.55,4.49,2.72,2/26/2012
1273,0.55,SI2,Ideal,E,62,56,5.27,5.22,3.25,2/26/2012
3830,1.14,SI2,Premium,H,62.2,61,6.72,6.64,4.16,2/26/2012
16386,2.02,SI1,Fair,D,65,55,7.94,7.84,5.13,2/26/2012
1866,0.59,IF,Premium,I,61.2,58,5.38,5.41,3.3,2/26/2012
709,0.3,SI1,Ideal,D,62.2,56,4.3,4.25,2.66,2/26/2012
8167,1.22,VS1,Ideal,H,62.6,56,6.83,6.87,4.29,2/26/2012
658,0.3,VS2,Very Good,E,61.8,58,4.26,4.28,2.64,2/26/2012
4502,0.9,SI1,Premium,E,62.3,56,6.21,6.14,3.85,2/26/2012
1970,0.61,VVS2,Very Good,H,60.5,57,5.52,5.54,3.35,2/26/2012
596,0.34,VS2,Ideal,G,61.8,56,4.48,4.52,2.78,2/26/2012
15938,2.06,SI2,Very Good,G,59,58,8.3,8.38,4.92,2/26/2012
18080,2.32,SI1,Ideal,H,62.6,57,8.46,8.52,5.32,2/26/2012
802,0.31,VS2,Ideal,F,62,56,4.39,4.35,2.71,2/26/2012
545,0.3,VS1,Ideal,H,61.4,57,4.31,4.32,2.65,2/26/2012
1286,0.5,SI1,Ideal,F,62.7,56,5.12,5.05,3.19,2/26/2012
549,0.38,VS2,Very Good,I,62.4,56,4.65,4.58,2.88,2/26/2012
5105,1.03,SI1,Premium,H,59.2,60,6.62,6.58,3.91,2/26/2012
1845,0.5,VS2,Ideal,E,63.8,54,5.07,5.05,3.23,2/26/2012
2262,0.71,SI1,Premium,F,60.3,60,5.76,5.79,3.48,2/26/2012
666,0.33,VS1,Very Good,G,62,59,4.36,4.42,2.72,2/26/2012
8974,1.5,VS2,Very Good,I,60.1,60,7.38,7.35,4.43,2/26/2012
4877,1.11,SI2,Good,D,60.1,63,6.68,6.7,4.02,2/26/2012
5057,0.91,VS1,Very Good,E,62.8,60,6.08,6.11,3.83,2/26/2012
819,0.3,VVS1,Premium,H,61.1,61,4.3,4.27,2.62,2/26/2012
1218,0.38,IF,Ideal,F,62.2,54,4.65,4.68,2.9,2/26/2012
1431,0.41,IF,Ideal,G,62.4,54,4.78,4.74,2.97,2/26/2012
14372,1.5,VS2,Premium,F,61.3,61,7.36,7.33,4.5,2/26/2012
906,0.35,VS2,Ideal,F,60.5,57,4.6,4.52,2.76,2/26/2012
8202,1.07,VS2,Ideal,D,62.5,57,6.48,6.51,4.06,2/26/2012
2898,0.79,SI1,Ideal,G,62.3,57,5.9,5.85,3.66,2/26/2012
1740,0.71,SI2,Premium,G,62,59,5.69,5.65,3.52,2/26/2012
1235,0.57,SI2,Very Good,F,60.1,56,5.4,5.42,3.25,2/26/2012
688,0.41,SI1,Ideal,G,61.7,54,4.78,4.81,2.96,2/26/2012
3774,0.83,VVS1,Very Good,I,61.8,56,6,6.03,3.72,2/26/2012
1656,0.51,VS1,Ideal,G,61,55,5.11,5.21,3.15,2/26/2012
13427,1.68,VS2,Ideal,H,61.3,56,7.77,7.67,4.73,2/26/2012
965,0.3,VVS1,Good,F,63.7,59,4.24,4.17,2.68,2/26/2012
10090,1.3,VS2,Premium,F,60.4,59,7.12,7.06,4.28,2/26/2012
17904,1.74,VS1,Premium,G,62.4,58,7.71,7.61,4.78,2/26/2012
547,0.26,VVS2,Very Good,E,64.3,57,3.99,4.03,2.58,2/26/2012
439,0.23,VVS1,Good,E,59.9,65,3.93,3.95,2.36,2/26/2012
3115,0.7,VS2,Good,E,60.3,60,5.69,5.75,3.45,2/26/2012
12468,1.5,VS2,Ideal,G,62.6,56,7.3,7.26,4.56,2/26/2012
3761,1.01,SI2,Premium,I,60.5,61,6.47,6.42,3.9,2/26/2012
1636,0.51,VS1,Very Good,E,62,61,5.11,5.14,3.18,2/26/2012
3199,1,SI2,Fair,J,56.3,64,6.58,6.54,3.69,2/26/2012
5433,1.01,SI1,Very Good,H,62.9,56,6.34,6.41,4.01,2/26/2012
1378,0.46,VS1,Very Good,G,60,56,5.05,5.1,3.04,2/26/2012
730,0.34,VS2,Very Good,D,60,59,4.5,4.56,2.72,2/26/2012
904,0.43,VS2,Ideal,F,61.5,56,4.85,4.89,2.99,2/26/2012
942,0.31,VS2,Ideal,D,61.3,57,4.4,4.37,2.69,2/26/2012
452,0.3,SI2,Premium,G,62.7,55,4.29,4.26,2.68,2/26/2012
5893,1.21,SI1,Good,H,63.6,56,6.63,6.68,4.23,2/26/2012
6247,1.01,VS1,Good,G,58.7,62,6.49,6.55,3.83,2/26/2012
3145,0.71,VS2,Ideal,E,60.1,59,5.79,5.83,3.49,2/26/2012
5242,1,VS1,Premium,G,61.9,60,6.39,6.31,3.93,2/26/2012
4334,0.88,VVS1,Ideal,H,62,59,6.12,6.13,3.8,2/26/2012
914,0.31,IF,Ideal,F,62.2,55,4.35,4.37,2.71,2/26/2012
932,0.36,VS1,Premium,G,62.2,59,4.57,4.53,2.83,2/26/2012
2729,0.77,SI2,Ideal,F,61.3,56,5.89,5.92,3.62,2/26/2012
3633,1.02,SI2,Fair,F,66.6,58,6.21,6.14,4.11,2/26/2012
2835,0.63,VVS2,Ideal,F,61.9,57,5.47,5.51,3.4,2/26/2012
4989,1.01,SI1,Good,F,63.6,58,6.37,6.31,4.03,2/26/2012
1264,0.43,VVS1,Premium,G,62.3,59,4.83,4.77,2.99,2/26/2012
882,0.38,VS1,Ideal,G,62,55,4.64,4.68,2.89,2/26/2012
8647,1.01,VVS1,Ideal,G,61.1,56,6.51,6.49,3.97,2/26/2012
3649,0.73,VS2,Ideal,E,61.7,57,5.77,5.8,3.57,2/26/2012
810,0.4,VS1,Ideal,J,62.6,55,4.75,4.71,2.96,2/26/2012
5102,1.04,SI1,Ideal,H,62.3,57,6.45,6.48,4.03,2/26/2012
7239,1.39,VS1,Premium,J,60.8,58,7.26,7.21,4.4,2/26/2012
6777,1.08,VS2,Very Good,G,60.6,58,6.65,6.71,4.05,2/26/2012
3662,0.9,SI2,Very Good,E,62.6,60,6.09,6.18,3.84,2/26/2012
1772,0.54,VS1,Ideal,F,60.9,57,5.21,5.26,3.19,2/26/2012
11401,1.28,IF,Ideal,G,62,55.6,6.94,6.96,4.31,2/26/2012
1000,0.51,SI1,Ideal,I,61.9,54,5.12,5.15,3.18,2/26/2012
11182,1.2,VVS1,Good,F,63.6,57,6.74,6.71,4.28,2/26/2012
800,0.41,VS2,Very Good,G,61.4,57,4.76,4.81,2.94,2/26/2012
3243,0.68,VS1,Ideal,E,61.3,55,5.67,5.71,3.49,2/26/2012
8248,1.03,VVS1,Ideal,G,62,56,6.5,6.54,4.04,2/26/2012
1781,0.53,VVS1,Ideal,H,61.3,56,5.22,5.24,3.21,2/26/2012
1192,0.41,VVS2,Premium,F,60.1,59,4.82,4.79,2.89,2/26/2012
1927,0.62,SI1,Ideal,D,60.8,59,5.48,5.5,3.34,2/26/2012
6289,0.9,VVS2,Very Good,E,62.2,60,6.04,6.12,3.78,2/26/2012
5018,1,VS1,Good,I,63.7,56,6.34,6.32,4.03,2/26/2012
10967,1.02,IF,Very Good,F,62.5,58,6.39,6.54,4.04,2/26/2012
799,0.27,VVS2,Premium,D,62.2,59,4.12,4.08,2.55,2/26/2012
814,0.3,VVS1,Ideal,F,61.8,57,4.3,4.34,2.67,2/26/2012
4559,1.01,SI1,Premium,H,59.8,60,6.48,6.52,3.89,2/26/2012
17460,2.2,VS2,Ideal,H,61.7,55,8.41,8.38,5.18,3/11/2012
3242,0.79,SI1,Ideal,D,61.2,56,5.95,6.02,3.66,3/11/2012
2968,0.9,SI2,Ideal,G,62.4,57,6.16,6.13,3.84,3/11/2012
1447,0.5,VS2,Good,F,61.3,61,5.05,5.1,3.11,3/11/2012
2074,0.7,SI1,Very Good,G,60.7,58,5.7,5.73,3.47,3/11/2012
3945,0.9,SI1,Fair,D,66.1,55,5.98,5.92,3.93,3/11/2012
4434,1.01,SI2,Very Good,E,63.3,58,6.39,6.37,4.04,3/11/2012
5880,1,SI1,Ideal,E,61.6,55,6.45,6.43,3.97,3/11/2012
666,0.38,SI1,Ideal,G,62.4,57,4.62,4.65,2.89,3/11/2012
965,0.39,VVS2,Very Good,F,61.7,56,4.7,4.74,2.91,3/11/2012
4011,1.27,VS2,Premium,J,62.8,58,6.96,6.92,4.36,3/11/2012
1408,0.58,VS2,Very Good,I,61.7,54.1,5.37,5.4,3.32,3/11/2012
4362,1.01,SI2,Premium,G,62.4,58,6.38,6.41,3.99,3/11/2012
5825,0.91,VS2,Very Good,D,59.6,58,6.32,6.34,3.77,3/11/2012
3195,0.73,SI1,Ideal,D,62.4,53,5.79,5.82,3.62,3/11/2012
1073,0.46,VS2,Ideal,I,62.2,56,4.96,4.9,3.07,3/11/2012
673,0.3,VS1,Ideal,G,61.1,56,4.36,4.35,2.66,3/11/2012
735,0.41,VS1,Fair,I,65.3,58,4.62,4.66,3.03,3/11/2012
5254,1,VS2,Good,H,60.9,61,6.38,6.42,3.9,3/11/2012
1805,0.71,SI2,Very Good,J,60.7,61,5.75,5.81,3.51,3/11/2012
984,0.35,VS2,Premium,E,60.7,60,4.58,4.55,2.77,3/11/2012
552,0.3,SI1,Ideal,D,61.4,56,4.32,4.35,2.66,3/11/2012
722,0.41,SI1,Ideal,H,62.4,53,4.78,4.81,2.99,3/11/2012
2110,0.7,SI2,Ideal,H,62.1,55,5.69,5.72,3.54,3/11/2012
3478,0.72,VS1,Ideal,G,61.3,56,5.75,5.8,3.54,3/11/2012
1041,0.37,VS2,Ideal,E,62.7,56,4.6,4.55,2.87,3/11/2012
13016,2.07,SI2,Fair,D,64.5,60,7.99,7.88,5.12,3/11/2012
586,0.27,VVS2,Very Good,E,61.8,59,4.14,4.18,2.57,3/11/2012
7466,1.01,VS1,Good,E,63.6,54,6.38,6.32,4.04,3/11/2012
783,0.25,VVS1,Ideal,E,62.3,53,4.08,4.11,2.55,3/11/2012
1097,0.57,SI2,Premium,I,62.1,60,5.32,5.27,3.29,3/11/2012
1415,0.5,VS2,Premium,G,60.2,60,5.21,5.15,3.12,3/11/2012
4405,1,SI1,Good,H,61.6,61,6.29,6.35,3.89,3/11/2012
838,0.42,SI2,Very Good,D,63.2,57,4.77,4.75,3.01,3/11/2012
4077,1,SI2,Very Good,E,59.5,63,6.47,6.41,3.83,3/11/2012
2136,0.7,SI1,Very Good,I,62.2,58,5.63,5.66,3.51,3/11/2012
2498,0.72,SI1,Fair,E,56.9,61,5.91,5.97,3.38,3/11/2012
4791,1,VS2,Premium,H,63,59,6.43,6.34,4.02,3/11/2012
748,0.35,SI1,Ideal,F,62.4,55,4.55,4.52,2.83,3/11/2012
6946,1.28,SI1,Premium,H,62.3,58,7,6.94,4.34,3/11/2012
758,0.32,VS2,Ideal,D,61.5,56,4.41,4.44,2.72,3/11/2012
